# What each corpus file's front ends said, written by
# `spikes/differential.sh --record`. Generated: do not hand-edit.
#
# This exists so that "has this file ever been through both front ends"
# can be answered by something with no oracle installed. The gate over it
# is `crates/orbweaver-test/tests/every_corpus_file_met_both_front_ends.rs`,
# and it checks **membership only** — that every file the differential
# enumerates has a row and every row names a file that still exists. It
# does not check that the verdicts below are today's; the differential
# itself is the only thing that can, and it rewrites this file whole.
#
# 오라클이 설치되지 않은 곳에서도 "이 파일이 두 프런트엔드를 거쳤는가"를
# 답할 수 있게 하는 기록이다. 게이트는 **소속만** 검사한다 — 아래 판정이
# 오늘의 것인지는 differential 자신만 말할 수 있고, 매번 전체를 다시 쓴다.
#
# Columns: file <TAB> filed as <TAB> our verdict <TAB> each oracle's verdict
# Measured: 2026-08-25 · oracles: omniidl jacorb_idl

01-primitives.idl	accept	accept	omniidl=accept,jacorb_idl=accept
02-alignment.idl	accept	accept	omniidl=accept,jacorb_idl=accept
03-strings.idl	accept	accept	omniidl=accept,jacorb_idl=accept
04-korean-codeset.idl	accept	accept	omniidl=accept,jacorb_idl=accept
05-enum.idl	accept	accept	omniidl=accept,jacorb_idl=accept
06-union.idl	accept	accept	omniidl=accept,jacorb_idl=accept
07-sequences.idl	accept	accept	omniidl=accept,jacorb_idl=accept
08-arrays.idl	accept	accept	omniidl=accept,jacorb_idl=accept
09-exceptions.idl	accept	accept	omniidl=accept,jacorb_idl=accept
10-inheritance.idl	accept	accept	omniidl=accept,jacorb_idl=accept
11-attributes-oneway.idl	accept	accept	omniidl=accept,jacorb_idl=accept
12-any-typecode.idl	accept	accept	omniidl=accept,jacorb_idl=reject
13-typedef-chain.idl	accept	accept	omniidl=accept,jacorb_idl=accept
14-modules-constants.idl	accept	accept	omniidl=accept,jacorb_idl=accept
15-forward-recursive.idl	accept	accept	omniidl=accept,jacorb_idl=accept
16-object-refs.idl	accept	accept	omniidl=accept,jacorb_idl=accept
17-boundaries.idl	accept	accept	omniidl=accept,jacorb_idl=accept
18-empty-edge.idl	accept	accept	omniidl=accept,jacorb_idl=accept
19-realistic-service.idl	accept	accept	omniidl=accept,jacorb_idl=accept
